,quarters,ratings,title_senti,pnc_senti,work_duration,current_employee,recommend,ceo_approval,business_outlook,recommend_minus,ceo_minus,business_minus,ceo_same,business_same,recommend_plus,ceo_plus,business_plus,*_*,authentic_self,balance_life,balance_work,balance_work-life,balance_work/life,benefit_great,care_employee,care_take,career_growth,culture_open,fast_pace,food_free,great_perk,life_work,menlo_park,none_none,people_smart,performance_review,q_weekly,earnings,pred_column
1,Q2,0.8391608391608392,0.6104210783515231,0.6942521217862165,0.9596740415374234,1,2,2,2,0.5,0.0,0.0,0.0,0.0,0.7115732368896925,1.0,0.6233766233766234,0.2016691086943781,0.43177637721755374,0.2120863606832094,0.19652430300994736,0.21962944846238527,0.13009193530083307,0.4905943700045205,0.27768104734551163,0.24975359698427835,0.2764835590376692,0.20522362383736475,0.22231322826081423,0.3572605285171266,0.5875,0.26666666666666666,0.13334122000075949,0.28174303350970015,0.28878194579964844,0.17069108419425447,0.15005582926773403,0.036663844199830646,0.0
2,Q3,0.8318637883855277,0.3308648554855983,0.596003889017096,0.23734825559260664,1,2,2,2,0.15217391304347827,0.30434782608695654,0.25418060200668896,0.0,0.27977315689981097,0.9122179416620804,0.9250293772032903,0.9486166007905138,0.2777777777777778,0.43177637721755374,0.08611111111111111,0.014930555555555548,0.21962944846238527,0.13009193530083307,0.5437500000000001,0.27768104734551163,0.24975359698427835,0.3666666666666667,0.20522362383736475,0.2,0.308452380952381,0.5548571428571428,-0.02777777777777779,0.13334122000075949,0.28174303350970015,0.3419285714285714,0.3520833333333333,0.15005582926773403,0.0,0.0
3,Q4,1.0,0.7495011402508552,0.15578294359350744,0.41607643337005235,1,2,2,2,0.2916666666666667,0.0,0.0,0.16666666666666666,0.13405797101449274,0.747626582278481,0.8563063063063061,1.0,0.2016691086943781,0.43177637721755374,0.52,0.52,0.21962944846238527,-0.0625,0.36175595238095243,0.27768104734551163,0.24975359698427835,0.2764835590376692,0.2,0.05,0.20729166666666668,0.36175595238095243,0.52,0.13334122000075949,0.28174303350970015,0.2835337301587302,0.17069108419425447,0.15005582926773403,0.10414902624894157,1.0
4,Q5,0.0,0.3875834826518977,0.1205662199773801,0.5570418243499954,1,2,2,2,1.0,1.0,0.8351648351648351,0.0,0.45962732919254656,0.42314647377938525,0.7536679536679535,0.7792207792207793,0.2016691086943781,0.43177637721755374,0.2120863606832094,0.19652430300994736,0.21962944846238527,0.13009193530083307,0.4905943700045205,0.27768104734551163,0.24975359698427835,0.2764835590376692,0.20522362383736475,0.22231322826081423,0.3572605285171266,0.5243801768968391,0.65,0.13334122000075949,0.28174303350970015,0.28878194579964844,0.17069108419425447,0.15005582926773403,0.0685012701100762,0.0
5,Q6,0.16783216783216784,0.3933865450399087,0.6449852027377472,0.15597171081799868,1,2,2,2,0.0,0.0,0.0,1.0,0.8043478260869565,1.0,0.1378378378378378,0.8181818181818182,0.2016691086943781,0.43177637721755374,0.2120863606832094,0.19652430300994736,0.21962944846238527,0.13009193530083307,0.4905943700045205,0.27768104734551163,0.24975359698427835,0.2764835590376692,0.20522362383736475,0.22231322826081423,0.3572605285171266,0.5243801768968391,0.22507391015411668,0.13334122000075949,0.28174303350970015,0.28878194579964844,0.17069108419425447,0.15005582926773403,0.0781541066892464,1.0
6,Q7,0.3814367450731086,0.891922359282679,0.5481433598404544,0.9786993595428413,1,2,2,2,0.31818181818181823,0.6363636363636365,0.0,0.36363636363636365,0.8774703557312252,0.8164556962025316,0.5297297297297296,0.6942148760330579,0.2016691086943781,0.43177637721755374,0.2120863606832094,0.19652430300994736,0.0,0.13009193530083307,0.4905943700045205,0.27768104734551163,0.24975359698427835,0.2764835590376692,0.20522362383736475,0.21628787878787878,0.5231250000000001,0.5243801768968391,0.22507391015411668,0.13334122000075949,0.28174303350970015,0.2,0.17069108419425447,0.15005582926773403,0.08594411515664689,1.0
7,Q8,0.5388295914611707,0.735034207525656,0.5227686702210191,0.25448015975568217,1,2,2,2,0.5526315789473685,0.3684210526315789,0.30769230769230765,0.0,0.16933638443935928,0.6812125249833444,0.9092460881934563,0.9186602870813397,0.2016691086943781,0.43177637721755374,0.2120863606832094,0.19652430300994736,0.21962944846238527,0.0,0.5375000000000001,0.27768104734551163,0.24975359698427835,0.2764835590376692,0.20522362383736475,0.22231322826081423,0.5333333333333333,0.6180194805194805,-0.25,0.17207792207792205,0.28174303350970015,0.28878194579964844,0.17069108419425447,0.15005582926773403,0.09424216765453006,1.0
8,Q9,0.8205128205128206,0.2552736602052451,0.07190753449741077,0.0,0,2,2,2,0.3888888888888889,0.0,0.0,0.1111111111111111,0.536231884057971,0.7756680731364275,0.8084084084084082,0.7272727272727273,0.2016691086943781,0.43177637721755374,0.30000000000000004,0.30000000000000004,0.21962944846238527,0.13009193530083307,0.4905943700045205,0.27768104734551163,0.05,0.2764835590376692,0.19305555555555554,0.5666666666666667,0.3428571428571429,0.2709406565656566,0.55,0.13334122000075949,0.28174303350970015,0.2125715488215488,0.17069108419425447,0.1,0.10431837425910245,1.0
9,Q10,0.08391608391608366,0.40615328229353354,0.2169104172277188,0.6238868432719947,1,2,2,2,0.5,0.5,0.41758241758241754,0.2857142857142857,0.9192546583850931,0.5673598553345389,0.3841698841698842,0.5454545454545455,0.2016691086943781,0.43177637721755374,-0.52,-0.52,0.21962944846238527,0.10208333333333332,0.4905943700045205,0.27768104734551163,0.625,0.2764835590376692,0.20522362383736475,0.22600000000000003,0.3572605285171266,0.5800000000000001,-0.52,0.13334122000075949,0.28174303350970015,0.28878194579964844,0.17069108419425447,0.15005582926773403,0.11693480101608805,1.0
10,Q11,0.7861612072138389,0.5503135689851767,0.5776249356410694,0.6485139555064157,1,2,2,2,0.18421052631578946,0.0,0.0,0.10526315789473684,0.6773455377574371,0.6812125249833444,0.7277382645803697,0.7464114832535885,0.2016691086943781,0.43177637721755374,-0.125,-0.125,0.8,0.13009193530083307,0.4382936507936508,0.20833333333333334,0.21666666666666667,0.2764835590376692,0.34833333333333333,0.22231322826081423,0.4000000000000001,0.8,-0.125,0.09999999999999999,0.28174303350970015,0.28878194579964844,0.17069108419425447,0.15005582926773403,0.11820491109229465,1.0
